player,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Logan Allen,Cleveland Guardians,27,1,0,3,3,2,1,0,0,7,1,0,5,0,.278,18,.316,.333,.649,0,0,.---,.---,0,83,0.00,4.0,0,0,0,0,0,0,0,1.50,19,12,1,0,0,50,.600,0,0,0,0,6,1.00,.---,20.75,1,7.00,15.75,2.25,11.25,4.50,0.00,0,0,0,0,0
Tanner Andrews,Toronto Blue Jays,30,2,0,3,4,0,0,0,0,1,2,0,1,0,.111,9,.273,.111,.384,0,0,.---,.---,1,43,0.00,3.0,0,0,0,0,0,0,0,1.00,11,9,2,0,0,22,.510,0,0,0,0,1,0.75,.---,14.33,2,0.50,3.00,6.00,3.00,0.00,0.00,0,0,0,0,0
Ty Blach,Chicago Cubs,35,1,0,4,2,0,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,.---,.---,0,30,0.00,3.0,0,0,0,0,0,0,0,0.33,9,9,1,0,0,22,.730,0,0,0,0,1,2.00,.---,10.00,1,-.--,6.00,0.00,3.00,0.00,0.00,0,0,0,0,0
John Brebbia,Colorado Rockies,36,1,0,2,3,0,0,0,0,1,0,0,1,0,.143,7,.143,.143,.286,0,0,.---,.---,1,24,0.00,2.0,0,0,0,0,0,0,0,0.50,7,6,1,0,0,19,.790,0,0,0,0,1,0.67,.---,12.00,1,-.--,4.50,0.00,4.50,0.00,0.00,0,0,0,0,0
Jose Cabrera,Arizona Diamondbacks,24,1,1,3,8,0,1,0,0,3,0,0,3,1,.176,17,.222,.235,.457,1,0,.000,1.000,0,62,0.00,5.0,0,0,0,0,0,0,0,0.60,18,15,1,0,0,42,.680,1,0,0,0,4,0.38,.---,12.40,0,-.--,5.40,0.00,5.40,0.00,0.00,0,0,0,0,0
Tyler Callihan,Pittsburgh Pirates,26,1,0,1,2,0,0,0,0,0,1,0,1,0,.250,4,.400,.250,.650,0,0,.---,.---,0,17,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,7,.410,0,0,0,0,1,0.50,.---,17.00,1,0.00,0.00,9.00,9.00,0.00,0.00,0,0,0,0,0
Eiberson Castellano,Colorado Rockies,25,1,0,3,2,0,1,0,0,2,0,0,4,1,.364,11,.417,.455,.872,0,0,.---,.---,1,35,0.00,3.0,0,0,1,1,0,0,0,1.33,12,9,1,0,0,24,.690,1,0,0,0,5,1.50,.---,11.67,1,-.--,6.00,0.00,12.00,0.00,0.00,0,0,0,0,0
Jeff Criswell,Colorado Rockies,27,2,0,1,3,0,0,0,0,2,2,0,1,0,.143,7,.333,.143,.476,0,0,.---,.---,0,49,0.00,2.0,0,0,0,0,0,0,0,1.50,9,6,2,0,0,27,.550,0,0,0,0,1,0.33,.---,24.50,0,1.00,9.00,9.00,4.50,0.00,0.00,0,0,0,0,0
Yovanny Cruz,New York Yankees,26,2,0,1,3,0,1,0,0,3,0,0,1,1,.125,8,.222,.250,.472,0,0,.---,.---,0,26,0.00,2.1,0,0,0,0,0,0,0,0.43,9,7,2,0,0,19,.730,1,0,0,0,2,0.33,.---,11.14,1,-.--,11.57,0.00,3.86,0.00,0.00,0,0,0,0,0
Nick Davila,Seattle Mariners,27,12,0,14,13,1,1,0,0,9,9,0,5,1,.122,41,.294,.146,.440,1,0,.000,1.000,0,206,0.00,12.2,0,0,1,1,1,0,0,1.11,51,38,12,0,0,126,.610,1,0,0,0,6,1.08,.---,16.26,4,1.00,6.39,6.39,3.55,0.71,0.00,3,0,0,0,0
