game_pk,game_type,season,game_date,status,away_team,away_score,home_team,home_score,venue
823531,R,2026,2026-06-21T17:35:00Z,Final,Cincinnati Reds,4.0,New York Yankees,1.0,Yankee Stadium
824908,R,2026,2026-06-21T17:35:00Z,Final,Milwaukee Brewers,9.0,Atlanta Braves,4.0,Truist Park
822968,R,2026,2026-06-21T17:40:00Z,Final,Washington Nationals,3.0,Tampa Bay Rays,4.0,Tropicana Field
824260,R,2026,2026-06-21T17:40:00Z,Final,Chicago White Sox,4.0,Detroit Tigers,5.0,Comerica Park
823852,R,2026,2026-06-21T17:40:00Z,Final,San Francisco Giants,1.0,Miami Marlins,2.0,loanDepot park
824177,R,2026,2026-06-21T18:10:00Z,Final,Cleveland Guardians,1.0,Houston Astros,2.0,Daikin Park
824095,R,2026,2026-06-21T18:10:00Z,Final,St. Louis Cardinals,12.0,Kansas City Royals,10.0,Kauffman Stadium
822883,R,2026,2026-06-21T18:35:00Z,Final,San Diego Padres,3.0,Texas Rangers,4.0,Globe Life Field
824343,R,2026,2026-06-21T19:10:00Z,Final,Pittsburgh Pirates,8.0,Colorado Rockies,6.0,Coors Field
825067,R,2026,2026-06-21T19:15:00Z,Final,Minnesota Twins,4.0,Arizona Diamondbacks,2.0,Chase Field
824987,R,2026,2026-06-21T20:05:00Z,Final,Los Angeles Angels,9.0,Athletics,7.0,Sutter Health Park
823934,R,2026,2026-06-21T20:10:00Z,Final,Baltimore Orioles,12.0,Los Angeles Dodgers,1.0,UNIQLO Field at Dodger Stadium
823123,R,2026,2026-06-21T20:10:00Z,Final,Boston Red Sox,1.0,Seattle Mariners,3.0,T-Mobile Park
823449,R,2026,2026-06-21T23:20:00Z,Final,New York Mets,2.0,Philadelphia Phillies,6.0,Citizens Bank Park
824664,R,2026,2026-06-21T18:20:00Z,Postponed,Toronto Blue Jays,,Chicago Cubs,,Wrigley Field
