league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,74,47,.612,-,L1
Unknown,Yankees,68,54,.557,6.5,L2
Unknown,Red Sox,65,57,.533,9.5,L1
Unknown,Blue Jays,60,64,.484,15.5,W1
Unknown,Orioles,59,63,.484,15.5,W1
Unknown,White Sox,63,58,.521,-,W1
Unknown,Tigers,60,62,.492,3.5,L1
Unknown,Twins,60,63,.488,4.0,L1
Unknown,Guardians,59,64,.480,5.0,L2
Unknown,Royals,50,73,.407,14.0,W1
Unknown,Astros,63,60,.512,-,W2
Unknown,Rangers,60,63,.488,3.0,L4
Unknown,Mariners,57,66,.463,6.0,L1
Unknown,Athletics,48,74,.393,14.5,W1
Unknown,Angels,48,75,.390,15.0,L1
Unknown,Braves,73,49,.598,-,L1
Unknown,Phillies,65,58,.528,8.5,W1
Unknown,Marlins,62,61,.504,11.5,L2
Unknown,Nationals,60,64,.484,14.0,L1
Unknown,Mets,54,69,.439,19.5,W1
Unknown,Brewers,75,48,.610,-,L1
Unknown,Cubs,72,51,.585,3.0,W1
Unknown,Cardinals,61,61,.500,13.5,L1
Unknown,Reds,59,62,.488,15.0,W2
Unknown,Pirates,60,64,.484,15.5,W2
Unknown,Dodgers,74,49,.602,-,W1
Unknown,Padres,66,57,.537,8.0,W6
Unknown,D-backs,65,58,.528,9.0,W1
Unknown,Giants,50,72,.410,23.5,L2
Unknown,Rockies,49,73,.402,24.5,W3
